Timestamp,Voltage_mV
0.712,2047.938
0.716,1977.188
0.72,1037.125
0.724,627.812
0.728,1274.188
0.732,2047.938
0.736,2014.0
0.74,1077.812
0.744,636.125
0.748,1250.625
0.752,2047.938
0.756,2035.375
0.76,1109.562
0.764,641.188
0.768,1229.5
0.772,2047.938
0.776,2047.938
0.78,1149.062
0.784,655.125
0.788,1215.438
0.792,2047.938
0.796,2047.938
0.8,1192.125
0.804,664.625
0.808,1195.688
0.812,2047.938
0.816,2047.938
0.82,1232.438
0.824,677.438
0.828,1177.188
0.832,2047.938
0.836,2047.938
0.84,1262.5
0.844,682.438
0.848,1152.625
0.852,2047.938
0.856,2047.938
0.86,1302.188
0.864,694.25
0.868,1133.125
0.872,2047.938
0.876,2047.938
0.88,1340.062
0.884,704.938
0.888,1108.812
0.892,2042.188
0.896,2047.938
0.9,1380.062
0.904,720.75
0.908,1090.562
0.912,2029.625
0.916,2047.938
0.92,1420.188
0.924,740.875
0.928,1084.688
0.932,2032.875
0.936,2047.938
0.94,1453.938
0.944,747.625
0.948,1059.75
0.952,2013.688
0.956,2047.938
0.96,1501.75
0.964,769.375
0.968,1039.562
0.972,1991.875
0.976,2047.938
0.98,1542.062
0.984,793.125
0.988,1034.812
0.992,1987.938
0.996,2047.938
1.0,1012.938
1.004,1012.938
1.008,1962.812
1.012,2047.938
1.016,1610.75
1.02,816.0
1.024,993.75
1.028,1947.75
1.032,2047.938
1.036,1654.0
1.04,838.625
1.044,985.812
1.048,1932.562
1.052,2047.938
1.056,1691.5
1.06,861.125
1.064,973.25
1.068,1913.125
1.072,2047.938
1.076,1728.438
1.08,877.125
1.084,955.312
1.088,1888.5
1.092,2047.938
1.096,1762.875
1.1,899.312
1.104,947.875
1.108,1869.875
1.112,2047.938
1.116,1797.938
1.12,936.312
1.124,1852.062
1.128,1852.062
1.132,2047.938
1.136,1842.375
1.14,945.125
1.144,924.25
1.148,1824.875
1.152,2047.938
1.156,1864.5
1.16,954.938
1.164,905.875
1.168,1794.938
1.172,2047.938
1.176,1901.125
1.18,985.125
1.184,902.75
1.188,1777.875
1.192,2047.938
1.196,1932.938
1.2,888.438
1.204,1751.0
1.208,2047.938
1.212,1970.188
1.216,1030.5
1.22,882.0
1.224,1724.5
1.228,2047.938
1.232,1993.688
1.236,1052.875
1.24,878.312
1.244,1699.688
1.248,2047.938
1.252,2024.125
1.256,1075.25
1.26,868.125
1.264,1673.375
1.268,2047.938
1.272,2047.938
1.276,1103.438
1.28,865.375
1.284,1652.938
1.288,2047.938
1.292,2047.938
1.296,1130.125
1.3,857.125
1.304,1616.875
1.308,2047.938
1.312,2047.938
1.316,1152.125
1.32,846.125
1.324,1582.438
1.328,2047.938
1.332,2047.938
1.336,1181.938
1.34,851.312
1.344,1560.062
1.348,2047.938
1.352,2047.938
1.356,1208.938
1.36,846.25
1.364,1529.5
1.368,2047.938
1.372,2047.938
1.376,1239.0
1.38,843.812
1.384,1501.125
1.388,2047.938
1.392,2047.938
1.396,1273.062
1.4,850.5
1.404,1479.25
1.408,2047.938
1.412,2047.938
1.416,1298.875
1.42,845.25
1.424,1446.188
1.428,2047.938
1.432,2047.938
1.436,1327.438
1.44,847.562
1.444,1422.25
1.448,2047.938
1.452,2047.938
1.456,1351.125
1.46,845.062
1.464,1395.875
1.468,2047.938
1.472,2047.938
1.476,1383.312
1.48,843.562
1.484,1362.938
1.488,2047.938
1.492,2047.938
1.496,1412.75
1.5,855.188
1.504,1346.562
1.508,2047.938
1.512,2047.938
1.516,1444.5
1.52,854.0
1.524,1310.375
1.528,2047.938
1.532,2047.938
1.536,1474.812
1.54,857.25
1.544,1280.938
1.548,2047.938
1.552,2047.938
1.556,1502.812
1.56,861.812
1.564,1254.188
1.568,2047.938
1.572,2047.938
1.576,1535.25
1.58,869.25
1.584,1231.438
1.588,2047.938
1.592,2047.938
1.596,1563.062
1.6,872.062
1.604,1205.25
1.608,2047.938
1.612,2047.938
1.616,1604.312
1.62,888.562
1.624,1183.188
1.628,2047.938
1.632,2047.938
1.636,1639.375
1.64,900.5
1.644,1166.688
1.648,2047.938
1.652,2047.938
1.656,1663.5
1.66,899.562
1.664,1133.0
1.668,2047.938
1.672,2047.938
1.676,1701.25
1.68,925.062
1.684,1127.125
1.688,2047.938
1.692,2047.938
1.696,1727.562
1.7,921.562
1.704,1090.562
1.708,2040.0
1.712,2047.938
1.716,1764.5
1.72,941.312
1.724,1076.0
1.728,2021.125
1.732,2047.938
1.736,1794.062
1.74,953.0
1.744,1056.188
1.748,1991.875
1.752,2047.938
1.756,1821.625
1.76,967.125
1.764,1039.875
1.768,1968.5
1.772,2047.938
1.776,1851.438
1.78,976.125
1.784,1011.25
1.788,1932.812
1.792,2047.938
1.796,1886.5
1.8,1000.625
1.804,1905.875
1.808,2047.938
1.812,1913.125
1.816,1009.125
1.82,980.375
1.824,1879.25
1.828,2047.938
1.832,1937.25
1.836,1023.688
1.84,965.125
1.844,1849.125
1.848,2047.938
1.852,1973.938
1.856,1049.0
1.86,953.375
1.864,1821.5
1.868,2047.938
1.872,1996.25
1.876,1060.062
1.88,935.562
1.884,1789.938
1.888,2047.938
1.892,2024.125
1.896,1081.438
1.9,925.062
1.904,1762.062
1.908,2047.938
1.912,2047.938
1.916,1104.812
1.92,913.75
1.924,1731.062
1.928,2047.938
1.932,2047.938
1.936,1126.188
1.94,903.25
1.944,1698.062
1.948,2047.938
1.952,2047.938
1.956,1138.312
1.96,885.562
1.964,1660.938
1.968,2047.938
1.972,2047.938
1.976,1164.75
1.98,882.5
1.984,1638.188
1.988,2047.938
1.992,2047.938
1.996,1192.25
2.0,2047.938
2.004,2047.938
2.008,2047.938
2.012,1220.438
2.016,870.938
2.02,1571.25
2.024,2047.938
2.028,2047.938
2.032,1238.312
2.036,865.938
2.04,1539.0
2.044,2047.938
2.048,2047.938
2.052,1255.625
2.056,850.25
2.06,1502.375
2.064,2047.938
2.068,2047.938
2.072,1292.688
2.076,854.125
2.08,1470.062
2.084,2047.938
2.088,2047.938
2.092,1310.5
2.096,849.25
2.1,1445.062
2.104,2047.938
2.108,2047.938
2.112,1338.312
2.116,1416.375
2.12,1416.375
2.124,2047.938
2.128,2047.938
2.132,1373.5
2.136,855.0
2.14,1388.75
2.144,2047.938
2.148,2047.938
2.152,1393.562
2.156,849.25
2.16,1355.062
2.164,2047.938
2.168,2047.938
2.172,1418.75
2.176,839.562
